年,月,日,競艇場番号,レース番号,距離,天候,風向き,風速,波高,着,艇,登番,モーター,ボート,展示タイム,進入番号,スタートタイミング,レースタイム
2025,07,09,17,6,1800,晴,南西,3,3,4,2,4601,22,39,6.62,6,0.14,1.54.7
2025,07,09,17,6,1800,晴,南西,3,3,5,4,4213,59,76,6.77,3,0.14,1.57.2
2025,07,09,17,6,1800,晴,南西,3,3,6,5,5011,51,52,6.80,4,0.21,1.58.5
2025,07,09,17,7,1800,晴,南西,2,2,1,3,5041,11,63,6.73,3,0.18,1.50.9
2025,07,09,17,7,1800,晴,南西,2,2,2,6,4096,70,33,6.78,6,0.14,1.52.5
2025,07,09,17,7,1800,晴,南西,2,2,3,4,5134,54,27,6.78,4,0.24,1.53.7
2025,07,09,17,7,1800,晴,南西,2,2,4,1,4727,64,51,6.83,1,0.20,1.55.7
2025,07,09,17,7,1800,晴,南西,2,2,5,5,3834,30,62,6.78,5,0.18,1.56.4
2025,07,09,17,7,1800,晴,南西,2,2,6,2,4007,19,13,6.72,2,0.14,1.59.2
2025,07,09,17,8,1800,晴,南西,2,2,1,1,4873,38,37,6.75,1,0.23,1.50.7
2025,07,09,17,8,1800,晴,南西,2,2,2,5,5154,15,29,6.85,5,0.30,1.52.5
2025,07,09,17,8,1800,晴,南西,2,2,3,2,3950,68,67,6.80,2,0.18,1.54.4
2025,07,09,17,8,1800,晴,南西,2,2,4,6,5417,39,66,6.79,6,0.26,1.56.3
2025,07,09,17,8,1800,晴,南西,2,2,5,3,3176,33,53,6.87,3,0.24,1.58.1
2025,07,09,17,8,1800,晴,南西,2,2,6,4,4062,71,69,6.80,4,0.27,1.59.2
2025,07,09,17,9,1800,晴,南西,3,3,1,1,4812,60,81,6.79,1,0.13,1.51.1
2025,07,09,17,9,1800,晴,南西,3,3,2,4,5064,14,75,6.84,4,0.09,1.52.9
2025,07,09,17,9,1800,晴,南西,3,3,3,5,4143,24,73,6.85,5,0.09,1.54.0
2025,07,09,17,9,1800,晴,南西,3,3,4,3,3955,36,77,6.80,3,0.25,1.55.3
2025,07,09,17,9,1800,晴,南西,3,3,5,2,4332,63,15,6.80,2,0.27,1.55.6
2025,07,09,17,9,1800,晴,南西,3,3,6,6,4260,52,23,6.82,6,0.16,1.58.6
2025,07,09,17,10,1800,晴,南西,2,2,1,3,4445,69,70,6.76,3,0.05,1.50.9
2025,07,09,17,10,1800,晴,南西,2,2,2,4,4483,76,80,6.83,4,0.02,1.51.8
2025,07,09,17,10,1800,晴,南西,2,2,3,5,5278,57,17,6.83,5,0.01,1.54.4
2025,07,09,17,10,1800,晴,南西,2,2,4,6,4601,22,39,6.64,6,0.04,1.55.2
2025,07,09,17,10,1800,晴,南西,2,2,5,2,4529,78,38,6.77,2,0.07,1.55.8
2025,07,09,17,10,1800,晴,南西,2,2,6,1,4811,12,14,6.79,1,0.09,1.57.8
2025,07,09,17,11,1800,晴,南西,3,3,1,6,3265,29,55,6.79,2,0.10,1.51.6
