予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数,1着回数,2着回数
1,,2025,7,17,22,7,,1,3845,48,45,A2,6.43,43.48,41.79,75.8,3.7,19.0,3.0,26.0,23.0
0,,2025,7,17,22,7,,2,4484,34,50,B1,4.76,32.47,27.94,10.0,4.1,1.0,1.0,7.0,14.0
0,,2025,7,17,22,7,,3,5317,24,46,B1,3.55,28.17,35.29,8.3,4.4,1.0,0.0,2.0,4.0
0,,2025,7,17,22,7,,4,4225,43,46,A1,6.69,27.78,34.78,47.8,2.7,2.0,9.0,21.0,32.0
0,,2025,7,17,22,7,,5,3551,53,44,B1,4.2,29.41,30.88,23.5,2.9,0.0,4.0,6.0,12.0
0,,2025,7,17,22,7,,6,5340,23,45,B1,2.95,36.0,33.33,3.3,4.1,0.0,2.0,1.0,3.0
1,,2025,7,17,22,8,,1,4478,37,48,A2,6.4,31.08,30.65,100.0,2.0,11.0,2.0,17.0,21.0
0,,2025,7,17,22,8,,2,3704,51,48,B1,3.75,28.75,30.91,22.2,4.6,2.0,0.0,4.0,1.0
0,,2025,7,17,22,8,,3,5250,23,45,B1,3.42,40.35,33.82,0.0,3.4,0.0,0.0,2.0,0.0
0,,2025,7,17,22,8,,4,4433,39,47,A1,6.53,29.41,44.12,38.1,3.5,5.0,3.0,27.0,23.0
0,,2025,7,17,22,8,,5,4317,40,48,B1,4.06,22.81,38.67,8.3,3.6,0.0,1.0,3.0,8.0
0,,2025,7,17,22,8,,6,4936,28,48,A2,5.5,32.18,24.59,15.3,4.3,0.0,2.0,15.0,17.0
1,,2025,7,17,22,9,,1,4773,32,49,A2,5.67,50.85,40.74,80.0,3.8,14.0,6.0,20.0,31.0
0,,2025,7,17,22,9,,2,5272,23,47,B1,3.45,29.67,26.67,46.6,1.9,4.0,3.0,9.0,8.0
0,,2025,7,17,22,9,,3,5078,27,46,B1,4.8,42.25,38.57,0.0,3.4,0.0,0.0,3.0,8.0
0,,2025,7,17,22,9,,4,3357,56,49,B1,4.47,35.16,27.12,7.6,3.9,0.0,1.0,7.0,10.0
0,,2025,7,17,22,9,,5,3518,57,48,B1,4.34,39.39,24.59,7.6,3.8,0.0,1.0,6.0,11.0
0,,2025,7,17,22,9,,6,4456,36,45,A1,6.51,43.86,49.23,12.5,4.3,0.0,2.0,30.0,23.0
1,,2025,7,17,22,10,,1,4556,35,47,B2,6.08,34.85,50.0,100.0,1.0,1.0,1.0,3.0,4.0
1,,2025,7,17,22,10,,2,4530,36,45,A1,6.92,35.06,33.82,56.2,3.6,6.0,3.0,31.0,18.0
0,,2025,7,17,22,10,,3,5203,21,45,B1,4.2,33.33,28.36,15.7,2.7,0.0,3.0,6.0,13.0
0,,2025,7,17,22,10,,4,4014,45,47,A2,5.78,38.98,37.66,13.6,3.6,0.0,3.0,16.0,22.0
0,,2025,7,17,22,10,,5,4240,41,45,A1,6.14,29.85,37.5,33.3,3.0,1.0,6.0,31.0,31.0
0,,2025,7,17,22,10,,6,4627,39,47,A2,5.65,45.31,27.27,11.1,4.1,0.0,1.0,14.0,14.0
1,,2025,7,17,22,11,,1,5193,23,46,A2,6.29,43.08,35.48,69.2,2.9,7.0,2.0,19.0,21.0
1,,2025,7,17,22,11,,2,5163,25,46,A1,6.18,37.25,37.93,50.0,3.1,4.0,3.0,28.0,17.0
0,,2025,7,17,22,11,,3,4349,39,50,B1,4.91,28.24,20.37,26.6,2.8,1.0,3.0,15.0,20.0
0,,2025,7,17,22,11,,4,5281,22,47,B1,5.93,44.59,30.51,28.5,2.6,2.0,2.0,15.0,17.0
0,,2025,7,17,22,11,,5,4190,44,50,A1,6.01,34.41,43.55,35.2,2.9,4.0,2.0,31.0,20.0
0,,2025,7,17,22,11,,6,3845,48,45,A2,6.43,43.48,41.79,0.0,0.0,0.0,0.0,26.0,23.0
1,,2025,7,17,22,12,,1,4447,38,49,A2,6.23,38.82,44.62,71.4,2.9,11.0,4.0,23.0,18.0
0,,2025,7,17,22,12,,2,4225,43,46,A1,6.69,27.78,34.78,42.1,3.3,3.0,5.0,21.0,32.0
0,,2025,7,17,22,12,,3,4433,39,47,A1,6.53,29.41,44.12,52.6,3.9,2.0,8.0,27.0,23.0
0,,2025,7,17,22,12,,4,5296,23,46,B1,4.23,44.62,19.23,13.6,4.0,0.0,3.0,4.0,10.0
