予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数
0,0,2025,7,14,20,4,5.0,4,5140,24,48,B1,4.22,35.42,12.5,35.2,4.2,1.0,5.0
0,0,2025,7,14,20,4,6.0,5,3617,52,54,B1,3.59,22.92,15.15,4.5,4.2,0.0,1.0
0,0,2025,7,14,20,4,4.0,6,4451,37,53,A1,6.46,45.26,34.48,18.7,4.1,1.0,2.0
1,1,2025,7,14,20,5,1.0,1,4361,40,53,A1,6.92,36.73,32.14,88.0,2.3,15.0,7.0
0,0,2025,7,14,20,5,3.0,2,4241,40,53,A2,5.36,40.0,39.29,47.8,4.3,2.0,9.0
0,1,2025,7,14,20,5,2.0,3,4969,34,53,B1,5.21,40.71,33.33,15.7,3.7,1.0,2.0
0,0,2025,7,14,20,5,4.0,4,4994,27,45,A2,6.0,25.53,25.0,8.3,3.8,0.0,1.0
0,0,2025,7,14,20,5,5.0,5,5138,25,52,B1,2.53,34.87,18.52,9.0,4.8,0.0,1.0
0,0,2025,7,14,20,5,6.0,6,5361,18,52,B2,1.62,37.32,41.38,0.0,4.3,0.0,0.0
1,1,2025,7,14,20,6,1.0,1,4472,38,55,A1,6.88,25.0,37.93,87.1,2.7,23.0,4.0
0,0,2025,7,14,20,6,4.0,2,3982,47,56,B1,5.0,34.93,42.86,15.3,3.7,0.0,2.0
1,0,2025,7,14,20,6,3.0,3,4570,37,55,A1,6.64,32.88,58.62,61.1,2.3,3.0,8.0
0,1,2025,7,14,20,6,2.0,4,4506,37,53,A2,5.78,31.37,37.93,33.3,2.2,3.0,5.0
0,0,2025,7,14,20,6,5.0,5,4592,44,52,B1,4.81,31.03,11.54,0.0,3.6,0.0,0.0
0,0,2025,7,14,20,6,6.0,6,5412,19,43,B2,1.2,26.43,42.86,0.0,0.0,0.0,0.0
1,0,2025,7,14,20,7,4.0,1,4529,36,55,A2,4.95,35.46,25.0,76.4,2.3,11.0,2.0
0,1,2025,7,14,20,7,1.0,2,3783,49,54,A1,7.02,39.73,31.03,35.2,3.5,1.0,5.0
0,0,2025,7,14,20,7,3.0,3,4728,37,54,B1,4.65,28.29,9.68,26.6,3.9,3.0,1.0
0,0,2025,7,14,20,7,6.0,4,5162,25,44,B2,3.78,36.49,33.33,25.0,3.6,1.0,1.0
0,0,2025,7,14,20,7,5.0,5,3950,49,56,B1,4.13,55.22,29.73,0.0,3.1,0.0,0.0
0,1,2025,7,14,20,7,2.0,6,4220,43,56,A2,5.55,30.71,36.67,0.0,4.4,0.0,0.0
1,1,2025,7,14,20,8,1.0,1,4826,31,53,A1,6.98,46.62,36.67,91.6,2.6,32.0,1.0
0,0,2025,7,14,20,8,4.0,2,4906,30,54,A2,5.81,28.19,39.29,55.0,3.6,3.0,8.0
0,0,2025,7,14,20,8,3.0,3,4925,32,54,A2,5.69,33.81,32.14,38.1,1.8,5.0,3.0
0,0,2025,7,14,20,8,5.0,4,4498,37,54,B1,4.82,35.86,41.94,10.0,3.7,1.0,1.0
0,1,2025,7,14,20,8,2.0,5,3957,48,54,B1,5.27,32.03,53.57,0.0,4.1,0.0,0.0
0,0,2025,7,14,20,8,6.0,6,5314,24,54,B2,2.04,37.59,35.71,0.0,4.0,0.0,0.0
1,0,2025,7,14,20,9,3.0,1,4347,40,45,A2,6.32,43.61,25.93,66.6,2.8,9.0,3.0
0,1,2025,7,14,20,9,1.0,2,4106,45,52,B1,3.66,31.43,33.33,25.0,4.4,2.0,2.0
0,0,2025,7,14,20,9,4.0,3,4943,34,55,B1,4.49,37.09,32.14,8.3,3.4,0.0,1.0
0,1,2025,7,14,20,9,2.0,4,4834,37,50,B1,5.11,26.21,33.33,27.7,2.9,1.0,4.0
0,0,2025,7,14,20,9,6.0,5,5361,18,52,B2,1.62,37.32,41.38,0.0,3.8,0.0,0.0
0,0,2025,7,14,20,9,5.0,6,4551,36,54,A2,5.41,21.83,22.58,5.8,3.7,0.0,1.0
1,1,2025,7,14,20,10,2.0,1,4506,37,53,A2,5.78,31.37,37.93,86.3,2.3,17.0,2.0
0,0,2025,7,14,20,10,5.0,2,3736,51,56,B1,4.49,37.09,29.63,30.0,4.6,0.0,6.0
0,1,2025,7,14,20,10,1.0,3,4451,37,53,A1,6.46,45.26,34.48,36.3,3.3,2.0,6.0
0,0,2025,7,14,20,10,4.0,4,4082,45,52,B1,5.08,34.93,35.71,36.3,3.5,1.0,3.0
0,0,2025,7,14,20,10,6.0,5,5063,27,54,B1,4.79,45.11,41.94,0.0,4.6,0.0,0.0
0,0,2025,7,14,20,10,3.0,6,4994,27,45,A2,6.0,25.53,25.0,20.0,4.8,0.0,2.0
1,1,2025,7,14,20,11,1.0,1,4570,37,55,A1,6.64,32.88,58.62,85.1,3.3,18.0,5.0
0,0,2025,7,14,20,11,6.0,2,5140,24,48,B1,4.22,35.42,12.5,38.4,3.2,4.0,1.0
0,1,2025,7,14,20,11,2.0,3,4220,43,56,A2,5.55,30.71,36.67,41.1,3.4,2.0,5.0
0,0,2025,7,14,20,11,5.0,4,4731,36,52,B1,5.64,36.73,25.93,11.7,3.4,0.0,2.0
0,0,2025,7,14,20,11,3.0,5,4004,47,52,B1,4.55,33.11,67.86,4.7,2.1,0.0,1.0
0,0,2025,7,14,20,11,4.0,6,4241,40,53,A2,5.36,40.0,39.29,16.6,4.6,0.0,3.0
1,0,2025,7,14,20,12,3.0,1,3783,49,54,A1,7.02,39.73,31.03,95.4,3.6,18.0,3.0
1,0,2025,7,14,20,12,5.0,2,4472,38,55,A1,6.88,25.0,37.93,62.0,3.7,9.0,9.0
0,0,2025,7,14,20,12,6.0,3,5084,26,53,A1,7.62,29.14,30.0,46.1,2.3,3.0,3.0
0,1,2025,7,14,20,12,1.0,4,4361,40,53,A1,6.92,36.73,32.14,40.0,2.6,2.0,4.0
0,1,2025,7,14,20,12,2.0,5,4826,31,53,A1,6.98,46.62,36.67,24.0,2.4,6.0,0.0
0,0,2025,7,14,20,12,4.0,6,4208,42,48,A1,6.84,29.08,16.67,30.0,3.2,1.0,5.0
1,0,2025,7,14,19,1,3.0,1,4323,38,58,B1,4.7,26.32,33.33,65.2,2.8,13.0,2.0
0,0,2025,7,14,19,1,4.0,2,4513,36,54,A2,5.4,37.7,32.79,28.0,3.5,2.0,5.0
0,1,2025,7,14,19,1,1.0,3,5000,30,51,B1,4.76,40.98,42.62,18.7,2.0,2.0,1.0
0,0,2025,7,14,19,1,5.0,4,5176,32,53,B2,2.63,20.69,36.54,0.0,2.5,0.0,0.0
0,1,2025,7,14,19,1,2.0,5,3458,58,54,B1,3.72,29.31,41.38,9.0,3.7,0.0,1.0
0,0,2025,7,14,19,1,6.0,6,3631,55,53,B1,4.7,31.58,21.15,16.6,3.3,0.0,2.0
0,1,2025,7,14,19,2,2.0,1,4511,36,56,B2,4.02,35.29,36.21,25.0,3.4,1.0,0.0
0,0,2025,7,14,19,2,3.0,2,4034,46,55,B1,4.38,27.27,36.07,17.6,4.2,1.0,2.0
0,0,2025,7,14,19,2,6.0,3,5288,25,53,B1,2.86,35.48,12.73,0.0,4.3,0.0,0.0
0,0,2025,7,14,19,2,4.0,4,4691,42,50,B1,4.6,30.61,22.22,12.5,2.9,0.0,2.0
0,0,2025,7,14,19,2,5.0,5,3508,53,55,B1,4.92,24.0,36.21,0.0,4.6,0.0,0.0
0,1,2025,7,14,19,2,1.0,6,4331,41,56,B1,5.64,38.33,28.3,6.2,4.8,0.0,1.0
1,0,2025,7,14,19,3,3.0,1,4374,41,50,B1,4.74,39.22,27.59,46.6,3.1,6.0,1.0
0,1,2025,7,14,19,3,2.0,2,4383,40,52,A2,5.6,34.62,33.9,46.1,3.2,6.0,6.0
0,1,2025,7,14,19,3,1.0,3,4163,43,52,A2,5.69,36.84,43.86,36.3,4.0,2.0,6.0
0,0,2025,7,14,19,3,4.0,4,5238,25,54,B1,5.38,50.0,25.0,35.2,2.7,1.0,5.0
0,0,2025,7,14,19,3,5.0,5,5369,23,51,B2,1.96,22.64,41.07,0.0,3.0,0.0,0.0
0,0,2025,7,14,19,3,6.0,6,3605,53,54,B1,4.4,39.34,37.29,0.0,4.1,0.0,0.0
0,0,2025,7,14,19,4,3.0,1,4564,37,54,B1,4.34,36.51,24.49,41.6,3.7,3.0,2.0
1,1,2025,7,14,19,4,2.0,2,4295,38,54,A1,7.02,24.53,26.67,61.9,2.9,3.0,10.0
0,1,2025,7,14,19,4,1.0,3,4682,34,53,A1,7.01,33.93,39.34,47.8,2.9,5.0,6.0
0,0,2025,7,14,19,4,4.0,4,5073,29,54,B1,5.61,32.14,47.54,27.7,3.1,2.0,3.0
0,0,2025,7,14,19,4,6.0,5,4917,36,52,B1,4.56,31.03,31.15,0.0,3.4,0.0,0.0
0,0,2025,7,14,19,4,5.0,6,3627,55,52,B1,5.64,39.68,30.36,0.0,3.0,0.0,0.0
1,1,2025,7,14,19,5,1.0,1,3731,51,53,A2,5.15,32.73,47.17,73.3,3.8,8.0,3.0
0,0,2025,7,14,19,5,3.0,2,3701,52,58,B1,3.8,22.92,30.36,10.0,3.6,0.0,2.0
0,0,2025,7,14,19,5,5.0,3,4200,42,57,B1,4.67,44.83,22.95,15.7,3.1,2.0,1.0
0,0,2025,7,14,19,5,6.0,4,3523,56,52,B1,4.97,30.36,32.2,25.0,3.1,1.0,3.0
0,1,2025,7,14,19,5,2.0,5,3742,50,52,B1,3.9,30.51,25.0,0.0,4.0,0.0,0.0
0,0,2025,7,14,19,5,4.0,6,4052,44,51,A1,6.4,43.86,17.31,26.6,4.4,1.0,3.0
1,0,2025,7,14,19,6,3.0,1,5081,26,52,A2,5.43,37.93,38.18,80.0,4.0,6.0,2.0
0,0,2025,7,14,19,6,6.0,2,5176,32,53,B2,2.63,20.69,36.54,22.2,4.2,0.0,2.0
1,1,2025,7,14,19,6,2.0,3,4762,35,50,A1,7.57,26.79,25.81,60.8,2.0,7.0,7.0
0,0,2025,7,14,19,6,4.0,4,3752,54,54,B1,5.11,41.38,24.53,21.0,2.9,1.0,3.0
0,0,2025,7,14,19,6,5.0,5,4271,43,52,B1,4.39,24.0,32.79,17.3,3.3,1.0,3.0
0,1,2025,7,14,19,6,1.0,6,4323,38,58,B1,4.7,26.32,33.33,26.0,3.5,1.0,5.0
1,1,2025,7,14,19,7,1.0,1,4949,32,50,A1,6.62,36.21,23.4,79.1,2.5,15.0,4.0
